Location ID,Observed Property ID,Analyzed DateTime,Depth,Depth Unit,Data Classification,Result Value,Result Unit,Lab: MDL,Latitude,Longitude
FB,Total suspended solids,2022-11-14 12:00:00.000+10:00,,,LAB,7,mg/L,5,-33.7272,150.692296
FB,Total Nitrogen as N,2022-11-14 12:00:00.000+10:00,,,LAB,0.6,mg/L,0.1,-33.7272,150.692296
FB,Total Phosphorus as P,2022-11-14 12:00:00.000+10:00,,,LAB,0.04,mg/L,0.01,-33.7272,150.692296
FB,Nitrate as N,2022-11-14 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Ammonia as N,2022-11-14 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Total Kjeldahl Nitrogen as N,2022-11-14 12:00:00.000+10:00,,,LAB,0.6,mg/L,0.1,-33.7272,150.692296
FB,Nitrite as N,2022-11-14 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Nitrite + Nitrate as N,2022-11-14 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Dissolved Reactive Phosphorus as P,2022-11-14 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Potentially Toxic Cyanobacteria,2022-11-14 18:55:00.000+10:00,,,LAB,12680,cells/ml,,-33.7272,150.692296
FB,Potentially Toxic Cyanobacteria Biovolume,2022-11-14 18:55:00.000+10:00,,,LAB,0.707,mm3/l,,-33.7272,150.692296
FB,Merismopedia_Biovolume,2022-11-14 18:55:00.000+10:00,,,LAB,0.004,mm3/l,,-33.7272,150.692296
FB,Merismopedia_Cell count,2022-11-14 18:55:00.000+10:00,,,LAB,553,cells/ml,,-33.7272,150.692296
FB,Microcystis_Cell count,2022-11-14 18:55:00.000+10:00,,,LAB,10241,cells/ml,,-33.7272,150.692296
FB,Pseudanabaena_Biovolume,2022-11-14 18:55:00.000+10:00,,,LAB,0.009,mm3/l,,-33.7272,150.692296
FB,Dolichospermum circinale_Biovolume,2022-11-14 18:55:00.000+10:00,,,LAB,0.423,mm3/l,,-33.7272,150.692296
FB,Cyanobacteria Biovolume,2022-11-14 18:55:00.000+10:00,,,LAB,0.739,mm3/l,,-33.7272,150.692296
FB,Chlorophyll - a,2022-11-14 18:55:00.000+10:00,,,LAB,20.1,mg/m^3,,-33.7272,150.692296
FB,Total Cyanobacteria,2022-11-14 18:55:00.000+10:00,,,LAB,56310,cells/ml,,-33.7272,150.692296
FB,Coccoid Blue Green Picoplankton_Biovolume,2022-11-14 18:55:00.000+10:00,,,LAB,0.019,mm3/l,,-33.7272,150.692296
FB,Pseudanabaena_Cell count,2022-11-14 18:55:00.000+10:00,,,LAB,975,cells/ml,,-33.7272,150.692296
FB,Dolichospermum circinale_Cell count,2022-11-14 18:55:00.000+10:00,,,LAB,2435,cells/ml,,-33.7272,150.692296
FB,Enterococci,2022-11-14 18:55:00.000+10:00,,,LAB,200,cfu/100ml,,-33.7272,150.692296
FB,Microcystis_Biovolume,2022-11-14 18:55:00.000+10:00,,,LAB,0.284,mm3/l,,-33.7272,150.692296
FB,Coccoid Blue Green Picoplankton_Cell count,2022-11-14 18:55:00.000+10:00,,,LAB,42102,cells/ml,,-33.7272,150.692296
FB,Nitrite as N,2022-11-28 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Nitrate as N,2022-11-28 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
