Location ID,Observed Property ID,Observed DateTime,Result Value,Result Unit,Lab: MDL,,,,,,,,
RLM,Ammonia as N,2026-06-09 12:00:00.000+10:00,0.04,mg/L,0.01,,,,,,,,
RLE,Ammonia as N,2026-06-09 12:00:00.000+10:00,0.03,mg/L,0.01,,,,,,,,
RLW,Ammonia as N,2026-06-09 12:00:00.000+10:00,0.06,mg/L,0.01,,,,,,,,
RLE,Dissolved Reactive Phosphorus as P,2026-06-09 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,
RLM,Dissolved Reactive Phosphorus as P,2026-06-09 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,
RLW,Dissolved Reactive Phosphorus as P,2026-06-09 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,
RLM,Nitrate as N,2026-06-09 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,
RLW,Nitrate as N,2026-06-09 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,
RLE,Nitrate as N,2026-06-09 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,
RLE,Nitrite + Nitrate as N,2026-06-09 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,
RLM,Nitrite + Nitrate as N,2026-06-09 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,
RLW,Nitrite + Nitrate as N,2026-06-09 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,
RLE,Nitrite as N,2026-06-09 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,
RLW,Nitrite as N,2026-06-09 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,
RLM,Nitrite as N,2026-06-09 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,
RLE,Total Kjeldahl Nitrogen as N,2026-06-09 12:00:00.000+10:00,0.6,mg/L,0.1,,,,,,,,
RLW,Total Kjeldahl Nitrogen as N,2026-06-09 12:00:00.000+10:00,0.6,mg/L,0.1,,,,,,,,
RLM,Total Kjeldahl Nitrogen as N,2026-06-09 12:00:00.000+10:00,0.6,mg/L,0.1,,,,,,,,
RLE,Total Nitrogen as N,2026-06-09 12:00:00.000+10:00,0.6,mg/L,0.1,,,,,,,,
RLM,Total Nitrogen as N,2026-06-09 12:00:00.000+10:00,0.6,mg/L,0.1,,,,,,,,
RLW,Total Nitrogen as N,2026-06-09 12:00:00.000+10:00,0.6,mg/L,0.1,,,,,,,,
RLW,Total Phosphorus as P,2026-06-09 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,
RLE,Total Phosphorus as P,2026-06-09 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,
RLM,Total Phosphorus as P,2026-06-09 12:00:00.000+10:00,0.02,mg/L,0.01,,,,,,,,
RLM,Total suspended solids,2026-06-09 12:00:00.000+10:00,8,mg/L,5,,,,,,,,
