Location ID,Observed Property ID,Observed DateTime,Result Value,Result Unit,Lab: MDL,,,,,,,,,
WULW,Ammonia as N,2026-06-09 12:00:00.000+10:00,0.05,mg/L,0.01,,,,,,,,,
WULM,Ammonia as N,2026-06-09 12:00:00.000+10:00,0.05,mg/L,0.01,,,,,,,,,
WULE,Ammonia as N,2026-06-09 12:00:00.000+10:00,0.06,mg/L,0.01,,,,,,,,,
WULE,Dissolved Reactive Phosphorus as P,2026-06-09 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,,
WULM,Dissolved Reactive Phosphorus as P,2026-06-09 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,,
WULW,Dissolved Reactive Phosphorus as P,2026-06-09 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,,
WULE,Nitrate as N,2026-06-09 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,,
WULW,Nitrate as N,2026-06-09 12:00:00.000+10:00,0.01,mg/L,0.01,,,,,,,,,
WULM,Nitrate as N,2026-06-09 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,,
WULW,Nitrite + Nitrate as N,2026-06-09 12:00:00.000+10:00,0.01,mg/L,0.01,,,,,,,,,
WULM,Nitrite + Nitrate as N,2026-06-09 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,,
WULE,Nitrite + Nitrate as N,2026-06-09 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,,
WULW,Nitrite as N,2026-06-09 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,,
WULE,Nitrite as N,2026-06-09 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,,
WULM,Nitrite as N,2026-06-09 12:00:00.000+10:00,,mg/L,0.01,,,,,,,,,
WULW,Total Kjeldahl Nitrogen as N,2026-06-09 12:00:00.000+10:00,0.7,mg/L,0.1,,,,,,,,,
WULE,Total Kjeldahl Nitrogen as N,2026-06-09 12:00:00.000+10:00,0.6,mg/L,0.1,,,,,,,,,
WULM,Total Kjeldahl Nitrogen as N,2026-06-09 12:00:00.000+10:00,0.5,mg/L,0.1,,,,,,,,,
